346,68,WAY_001_21,2,6864A
347,68,WAY_001_22,1,6864A
348,68,WAY_001_22,2,6872B
349,68,WAY_001_23,1,6872B
350,68,WAY_001_23,2,6872A
351,68,WAY_001_24,1,6872A
352,68,WAY_001_24,2,6874
353,68,WAY_001_25,1,6874
354,68,WAY_001_25,2,6880
355,78,WAY_001_1,1,7811B
356,78,WAY_001_1,2,7817A
357,78,WAY_001_2,1,7817A
358,78,WAY_001_2,2,7817B
359,78,WAY_001_3,1,7817B
360,78,WAY_001_3,2,7827
361,78,WAY_001_4,1,7827
362,78,WAY_001_4,2,7833A
363,78,WAY_001_5,1,7833A
364,78,WAY_001_5,2,7833B
365,78,WAY_001_6,1,7833B
366,78,WAY_001_6,2,7835A
367,78,WAY_001_7,1,7835A
368,78,WAY_001_7,2,7835B
369,78,WAY_001_8,1,7835B
370,78,WAY_001_8,2,7843
371,78,WAY_001_9,1,7843
372,78,WAY_001_9,2,7845
373,78,WAY_001_10,1,7845
374,78,WAY_001_10,2,7853
375,78,WAY_001_11,1,7822A
376,78,WAY_001_11,2,7822A
377,78,WAY_001_12,1,7822A
378,78,WAY_001_12,2,7832C
379,78,WAY_001_13,1,7832C
380,78,WAY_001_13,2,7832B
381,78,WAY_001_14,1,7832B
382,78,WAY_001_14,2,7832A
383,78,WAY_001_15,1,7832A
384,78,WAY_001_15,2,7838B
385,78,WAY_001_16,1,7838B
386,78,WAY_001_16,2,7838A
387,78,WAY_001_17,1,7838A
388,78,WAY_001_17,2,7842B
389,78,WAY_001_18,1,7842B
390,78,WAY_001_18,2,7842A
391,78,WAY_001_19,1,7842A
392,78,WAY_001_19,2,7852B
393,78,WAY_001_20,1,7852B
394,78,WAY_001_20,2,7852A
395,78,WAY_001_21,1,7852A
396,78,WAY_001_21,2,7858B
397,78,WAY_001_22,1,7858B
398,78,WAY_001_22,2,7858A
